ID;ESTADO;INGRESOS;CASA;PRECIO_DISPOSITIVO;GENERO;MESES;DURACION;SOBRECARGO;SALDO_RESTANTE;SATISFACCION
84;VINCULADO;8252185;1291402227;519598;Mujer;24;2;34.20046977;94.8;3.077396679
85;RETIRADO;2646068;371016563.5;409741;Hombre;0;1.5;298.4636976;21.6;8.177956577
86;VINCULADO;3814388;645357763.1;2276844;Hombre;54;2;38.84917763;11.5;3.353364939
87;RETIRADO;7132447;1177731241;1622589;Mujer;34;0.9;267.0491315;78.4;8.211386566
88;VINCULADO;6843658;1133687980;1203145;Mujer;22;15.3;22.88846455;16.2;2.968871671
89;RETIRADO;7659140;1221917093;2944507;Hombre;37;18.4;287.7229358;80.8;8.163270217
90;RETIRADO;1441838;275022368.5;1544962;Mujer;23;16.3;296.2977237;8.2;8.603018147
91;RETIRADO;7409416;1176105300;1140886;Mujer;16;2.3;161.2654857;83.4;8.57341125
92;RETIRADO;7713870;1283922511;3025977;Hombre;25;16.1;255.6262092;60.2;8.494266027
93;RETIRADO;6365225;957256839.4;628725;Mujer;30;16.6;240.8487466;42.7;8.687087066
94;VINCULADO;7858989;1276733242;1550312;Mujer;3;17;50.78910573;63.5;3.407314322
95;RETIRADO;7636355;1205637872;2136778;Mujer;52;14.5;141.9866356;82.9;8.349613079
96;VINCULADO;6990370;1080925666;1269692;Mujer;0;2.4;7.098516336;67.5;2.509733899
97;RETIRADO;753292;144964698.5;1623698;Hombre;23;16;192.4840809;15.7;8.335069558
98;VINCULADO;2587093;373225060.9;358106;Hombre;48;1.9;27.25102747;15;1.729711009
99;RETIRADO;773055;157658486.6;1604367;Mujer;0;16.7;288.7408485;12.1;8.265050825
100;VINCULADO;8125155;1263145501;944843;Hombre;33;0.9;150.3762327;69.4;8.294129214
101;RETIRADO;8691926;1390767696;1100248;Hombre;10;15.1;259.3818956;51.1;8.289949693
102;RETIRADO;6968461;1116668131;828127;Hombre;24;15.7;0;80.8;2.481870474
103;VINCULADO;3264231;507605534.2;393520;Hombre;36;3.1;0;10.3;2.097650169
104;RETIRADO;6860005;1094960022;2632181;Mujer;36;16.4;33.42886948;72.4;8.234261152
105;VINCULADO;6911383;1085711921;1464308;Mujer;35;16.4;41.13704479;58.9;2.642908639
106;RETIRADO;3488400;618090136.5;2268150;Hombre;14;1.3;252.5766312;23.3;8.173457453
107;RETIRADO;6498680;1033828471;1157466;Mujer;50;2;325.8479319;73.2;8.245964711
108;RETIRADO;3306767;532507812.5;384574;Hombre;43;1.9;86.46345979;27.1;7.965163923
109;VINCULADO;2909966;559542477.8;2578294;Hombre;22;0;27.15341234;4.9;3.215455083
110;RETIRADO;1199998;225436098.1;1043321;Hombre;24;17.6;181.405741;3.3;8.44198527
111;VINCULADO;7697177;1232711787;623986;Hombre;43;16.1;15.27397644;67.3;2.678137663
112;VINCULADO;1324899;243268786.6;412080;Hombre;19;16.7;39.98932824;27;2.823705642
113;RETIRADO;7770655;1185708989;298211;Hombre;5;17.1;163.1792393;82.3;7.913961435
114;VINCULADO;3194502;526502953.5;1273049;Mujer;46;2.6;81.95242128;10.7;2.879874421
115;RETIRADO;3454739;536398418.8;1007057;Mujer;25;0;77.16281492;9.2;7.915511425
116;RETIRADO;2760854;483876898.5;319314;Hombre;4;3.3;279.4353889;37.7;7.95382334
117;VINCULADO;7200011;1129848307;1806408;Hombre;23;2.3;0;59.7;2.684522345
118;VINCULADO;6712999;1097129577;2208386;Hombre;26;1.4;0;87.7;2.773901648
119;RETIRADO;7642015;1196100273;1821848;Hombre;31;15.3;174.6987169;48;8.608658438
120;VINCULADO;866070;130792326.6;1087270;Mujer;30;16.6;143.7259017;3.3;8.246940368
121;RETIRADO;6495878;1018087005;1532560;Mujer;11;15.4;183.3659183;60.4;7.910425692
122;RETIRADO;3418205;607000986.8;1631237;Mujer;33;1.7;103.9947861;19.8;8.28278361
123;VINCULADO;6028735;940041927;1858769;Hombre;36;2;0;71.7;2.268976553
124;VINCULADO;7556310;1169570504;401003;Hombre;24;16.1;19.70641857;92.4;3.325792721
125;RETIRADO;7339712;1242216576;2510132;Mujer;7;15.9;204.583924;71.8;8.492492799
126;VINCULADO;500452;147998752.6;1221589;Mujer;13;18.7;0;0;2.559991613
127;RETIRADO;7737951;1290104720;2650299;Mujer;32;4;216.1339032;64.7;8.008078484
128;VINCULADO;6549784;1035151218;1213649;Mujer;0;16.2;0;63.8;2.532845739
129;RETIRADO;1120732;214088149.5;547889;Mujer;35;16.8;221.9706069;24.6;7.997093036
130;RETIRADO;1049623;211222645.4;329314;Hombre;29;15.8;193.1879046;12.9;8.054609334
131;RETIRADO;6814896;1098769171;1581580;Mujer;53;17.5;164.8649678;91.5;8.608703925
132;VINCULADO;1740282;284347162.6;268350;Hombre;25;15.6;0;27.3;3.125431411
133;RETIRADO;1904106;379764631.5;1386813;Mujer;0;16.4;285.1536697;10.3;8.392830507
134;VINCULADO;7177539;1175433960;1813713;Hombre;31;15.8;31.60160809;79.3;2.958508385
135;RETIRADO;7524162;1253784881;1751916;Mujer;19;14.5;252.9369205;77;8.413968455
136;RETIRADO;3580672;557627399.7;593604;Mujer;33;1.9;306.6254039;19.9;8.257995975
137;RETIRADO;4126736;691119460.9;844142;Mujer;35;3;195.9448326;21.4;8.165781711
138;VINCULADO;1777968;319701057;1303819;Mujer;17;17;2.841934567;11.5;2.966261939
139;RETIRADO;6901740;1119382073;1382383;Hombre;24;14.9;180.3238421;48.1;8.107566763
140;VINCULADO;460845;126681134.6;2794098;Mujer;33;15.8;3.597214806;13;3.317088499
141;RETIRADO;976482;220107644.5;1224664;Mujer;33;15.7;167.485019;15.6;7.592432052
142;RETIRADO;2352960;449596808.9;1829111;Mujer;37;1.3;30.73144924;0;8.233845294
143;VINCULADO;814964;146947568.5;337688;Mujer;3;14.9;0;8.1;3.068512625
144;VINCULADO;7666686;1274648044;2379922;Hombre;36;16.3;0.310667624;87.3;2.791522575
145;VINCULADO;7402449;1158298697;1370861;Hombre;15;16.2;209.2746377;64.6;7.931654963
146;VINCULADO;1025206;193713503.6;1309158;Mujer;14;14.1;0;13.8;2.632527606
147;RETIRADO;1728622;264652173.2;1543090;Mujer;18;15.6;108.3272942;15.9;8.857664377
148;VINCULADO;6137099;964792176.4;1063720;Mujer;27;16;0;54.9;2.494794515
149;VINCULADO;6656621;1056634762;1960338;Hombre;9;14.7;31.74158575;75.7;2.906774679
150;RETIRADO;482010;112853388.3;1119735;Mujer;36;14.7;208.2371938;31.1;8.924697007
151;RETIRADO;7221115;1123096004;1479940;Hombre;3;14.6;245.0655032;53.6;8.281854188
152;VINCULADO;6802955;1107930956;2995515;Mujer;18;16.2;93.8514892;38;8.778554542
153;VINCULADO;3123697;499244354.8;1071926;Hombre;44;1.3;23.69642577;19.5;2.634921933
154;VINCULADO;5774341;956145702.1;1716451;Mujer;0;17.6;39.76950193;62.1;3.454170455
155;RETIRADO;7878207;1289366251;941200;Hombre;22;16.8;142.9344837;61.4;8.220700815
156;VINCULADO;1808328;243428219.2;423717;Mujer;40;16.7;50.46184541;10.5;3.530637616
157;VINCULADO;7122301;1119920206;1760196;Mujer;13;15.1;224.2281729;59.2;8.391928981
158;VINCULADO;2141801;442838260.2;2560804;Mujer;13;15.8;35.88178594;6.1;1.770676803
159;VINCULADO;6965849;1087385512;1110663;Hombre;18;15.6;24.42576162;92.3;2.813917295
160;VINCULADO;1060030;179989610.1;521720;Hombre;5;14.8;15.99119687;31.8;2.989017285
161;VINCULADO;2603225;444467320.1;567284;Hombre;35;0.8;0;12.3;2.923865589
162;RETIRADO;7363708;1221124100;1461696;Hombre;9;15.6;152.8239059;50;8.292990214
163;VINCULADO;7738098;1207112701;460242;Mujer;20;16.4;0;60.7;2.356048215
164;VINCULADO;8163095;1307067489;522399;Hombre;0;15.6;20.85243814;37.8;2.691492811
165;RETIRADO;1254914;212695679.1;471106;Mujer;17;16.1;295.6513035;26;9.022812397
166;RETIRADO;640475;112692893.3;326086;Mujer;5;15.4;235.0016741;17.6;8.523653198
167;RETIRADO;1415390;258939937.2;752186;Mujer;30;15.7;27.52499368;21;2.382970714
168;VINCULADO;7628305;1191783558;1782563;Hombre;37;15.1;32.89994317;57.9;2.266478719
169;VINCULADO;7053240;1078547218;723433;Hombre;0;4;5.974033251;72;2.885043663
170;VINCULADO;7647109;1212544576;2188015;Mujer;30;17.1;11.15146299;73.7;3.462499627
171;VINCULADO;6751617;1050186388;1526298;Mujer;15;16.6;19.28483926;73.6;3.054483241
172;RETIRADO;7814631;1211690990;499554;Hombre;15;16.1;197.7604486;59.7;8.347264351
173;VINCULADO;3167154;562635622;1454406;Mujer;19;2.2;0;33;2.345406273
174;RETIRADO;7674137;1245356300;365782;Hombre;27;15.6;242.0222316;45.1;8.744397339
175;VINCULADO;1618228;317766905.9;2033193;Mujer;53;14.8;40.42913053;29.4;2.978059516
176;VINCULADO;3246486;507625058.1;1025537;Hombre;34;0;19.01523069;8.4;2.665987516
177;VINCULADO;4656390;774028822.5;2468132;Mujer;11;1;0;20.5;2.643926999
178;VINCULADO;775752;170042506;2264149;Mujer;34;16.3;45.89864095;0;3.351717095
179;RETIRADO;1226952;267684922.7;1813233;Hombre;43;17.1;245.2475789;4.9;8.73959451
180;VINCULADO;7371948;1173179798;1693739;Mujer;24;3.5;0;69.1;2.688300539
181;RETIRADO;7171003;1170150927;1101454;Hombre;29;14.5;189.4099408;88.4;7.756869353
182;VINCULADO;6798368;1059990618;1783947;Mujer;20;2.5;0;49.4;2.614086578
183;VINCULADO;7888404;1228433071;2173916;Mujer;16;16.3;0;79.9;2.06683445
184;VINCULADO;698786;182134913.5;1116956;Mujer;29;16;13.24941104;36.7;2.320404902
185;VINCULADO;7081627;1143991402;2001531;Hombre;13;16.2;69.69931618;48.3;2.82368689
186;RETIRADO;1814455;332841475.5;1165288;Hombre;54;16.3;172.8724756;34.8;8.738395784
187;VINCULADO;7253390;1105980784;791078;Hombre;6;4.1;24.24916741;58.4;3.305884468
188;VINCULADO;7167261;1135238230;2176642;Hombre;31;15.9;0;73.6;2.684453174
189;RETIRADO;7128282;1116926599;878426;Mujer;11;18.1;53.18338081;67.8;8.200004533
190;RETIRADO;2069983;341312507.8;391999;Mujer;29;15.8;29.58896928;18.2;2.786594507
191;RETIRADO;4435454;704702019.7;300665;Hombre;-16;3.7;205.7611538;35.4;8.946290423
192;RETIRADO;3408202;571190949.3;1655238;Mujer;0;1.7;217.0144588;26.9;8.488995051
193;VINCULADO;839184;178503646.2;863257;Hombre;30;17.2;63.95960355;11.9;2.698570561
194;RETIRADO;2761553;552563900.5;3169383;Hombre;18;1.3;189.5773111;17.4;8.387036868
195;RETIRADO;7546004;1235511164;2090174;Hombre;20;3.8;66.83473928;98.1;7.945237679
196;VINCULADO;4040591;622260933;350353;Hombre;16;2.2;17.09023833;7.2;2.154791551
197;RETIRADO;7614644;1210823645;351740;Mujer;13;15.8;11.14906576;63.1;2.72304679
198;RETIRADO;7723325;1234845135;1690371;Hombre;34;16.2;252.681267;33.3;8.516720638
199;RETIRADO;7419360;1257705774;3900085;Mujer;19;14.8;106.4263971;59.3;8.169416076
200;VINCULADO;8108065;1324525130;1555042;Hombre;0;3.8;0;59.7;2.848595381
201;VINCULADO;4156413;704439023.5;1600210;Hombre;38;1.5;11.5826467;14.9;2.768942167
202;VINCULADO;6316996;1031545968;2786579;Hombre;16;1.7;14.42585375;79.8;2.657454673
203;RETIRADO;4480350;733887164;1541184;Mujer;11;1;235.9380104;19.8;7.971725553
204;VINCULADO;7259612;1154625289;1679516;Mujer;21;2.2;51.16076038;65.6;2.160245846
205;RETIRADO;1221121;245086944.6;2590269;Hombre;23;15.8;9.421769599;0;2.302199753
206;RETIRADO;560082;165674973.9;2725189;Mujer;9;18.4;135.4797825;8.6;8.304914962
207;VINCULADO;1225065;223861686.4;1325859;Mujer;9;14.7;4.828367262;0;2.657784536
208;RETIRADO;1419963;234510050.2;1079202;Mujer;0;14.4;219.8564038;10.8;8.416381671
209;RETIRADO;4130172;647207819;317581;Mujer;31;3.5;219.3064235;8.5;8.227435804
210;RETIRADO;3457300;507302186.1;411343;Mujer;25;0.9;213.3900485;26;8.429500016
211;VINCULADO;602786;126143323.5;1057696;Hombre;25;16.9;54.74454872;23;2.490956666
212;VINCULADO;3490273;574082503.4;845959;Mujer;5;2.5;8.922884784;18.8;2.290709864
213;RETIRADO;6745177;1112053340;1504125;Mujer;36;2.4;121.32998;37.7;7.704386199
214;VINCULADO;6490591;1080533556;1659753;Mujer;19;16.1;12.56465671;78.1;3.412150932
215;RETIRADO;3176342;510322350.2;345331;Hombre;0;2.8;195.9263777;16.2;7.869535124
216;VINCULADO;7171573;1106423649;1634653;Hombre;22;1.9;0;70.7;1.39805832
217;VINCULADO;3582523;619091085.4;839669;Mujer;40;4.1;60.89940544;14.3;2.745091364
218;VINCULADO;6894952;1090142402;1166016;Mujer;4;2.4;8.67389217;67.9;3.360479618
219;VINCULADO;3369480;510401794.9;458995;Mujer;5;4.7;113.7424428;14.5;7.884116529
220;VINCULADO;756740;148081734.2;521954;Mujer;14;17.1;0;27.7;3.496414158
221;VINCULADO;425986;98780043.77;999679;Hombre;37;18.7;45.77420266;10.4;3.159315223
222;RETIRADO;3593914;601636955.2;1343637;Mujer;2;0.4;181.257977;14;7.76631172
223;VINCULADO;7433217;1137060856;475358;Mujer;31;14.7;47.16545531;49;2.830935355
224;RETIRADO;6389783;1010174340;1078036;Hombre;12;17.4;192.2286906;39.5;8.250868862
225;VINCULADO;150000;95652795.78;1355690;Mujer;31;17.3;0;23.1;2.045926243
226;RETIRADO;7157604;1169011751;1732434;Mujer;0;1.3;215.9899047;89.2;8.150367563
227;RETIRADO;4397071;701274961.8;638687;Hombre;9;2.5;206.530788;15.5;8.610907422
228;VINCULADO;7435820;1217751851;778209;Hombre;30;0.5;49.83823437;90.2;3.3163628
229;VINCULADO;3436103;562153501.3;1413408;Mujer;12;0.9;34.40696042;14.8;2.744264788
230;RETIRADO;943981;176667867;535685;Mujer;30;16.4;167.793248;17.1;8.146761573
231;RETIRADO;7343190;1152289142;503173;Mujer;15;18;201.3018881;65.5;8.706270595
232;VINCULADO;2700037;401752184.4;1021660;Hombre;27;1.3;39.99534017;25.7;2.668541534
233;VINCULADO;7700681;1258638571;1179766;Hombre;34;2.6;19.41261085;79.8;2.720565449
234;VINCULADO;3037281;470522780.8;1099960;Hombre;16;2.6;0;19.8;2.772292352
235;VINCULADO;1405579;276782935.1;1314343;Hombre;20;16.9;0;29.7;2.697260465
236;VINCULADO;3283476;562694295.5;818781;Mujer;0;1.2;0;20.7;2.063529795
237;RETIRADO;7412460;1119747919;385461;Hombre;5;1.5;174.226214;61.6;7.906551278
238;RETIRADO;6846667;1098930578;1176578;Mujer;16;4.1;244.5307921;64.3;9.15713345
239;VINCULADO;6859606;1090320147;355886;Hombre;23;16.4;0;69.3;2.324772689
240;RETIRADO;2843665;489659378.2;2136793;Hombre;34;1;34.0711728;4;3.112051806
241;RETIRADO;1899885;275505311.6;604226;Hombre;5;15.8;179.9944082;19.9;7.842791495
242;RETIRADO;7194206;1162107611;2158469;Hombre;37;16.8;267.4871347;69.1;8.049385213
243;VINCULADO;3295578;541932964;887190;Mujer;21;1.6;45.15012383;5.1;3.316494081
244;VINCULADO;1011469;168851859;394890;Hombre;26;15.3;34.34635037;25.9;3.962593725
245;VINCULADO;6630441;1112015060;3408798;Hombre;31;14.8;180.4924337;63.2;8.991852288
246;RETIRADO;6801832;1027182402;399625;Mujer;43;15.9;194.0000462;31.1;8.40949283
247;RETIRADO;7141504;1175918638;2312861;Mujer;25;15.5;210.8274016;78.9;7.719852487
248;VINCULADO;3401139;536585263.2;1621818;Hombre;30;3.5;39.30340983;17;1.913966492
249;RETIRADO;6296609;1057000601;2325264;Hombre;16;17;188.5568634;62.6;8.736495265
250;RETIRADO;8323441;1303405644;788474;Mujer;0;17.5;217.2951488;47.7;7.65735204
251;VINCULADO;7647717;1160331014;697734;Hombre;25;16.8;25.91956868;60.2;2.529135169
252;VINCULADO;8167579;1261656047;393998;Hombre;21;2;24.48837221;95.2;2.757289818
253;VINCULADO;2523530;436140282.6;2513768;Mujer;47;2.9;0;7.4;2.905120175
254;RETIRADO;2917976;491654162.2;824481;Hombre;3;3.3;382.9433575;18.5;7.537219537
255;VINCULADO;7731424;1258203512;493718;Hombre;27;0.6;177.1776172;59.3;8.304736446
256;VINCULADO;1380115;259809407.5;471993;Mujer;35;17;38.84482895;3.3;8.285830181
257;RETIRADO;8047035;1295256362;1752843;Mujer;36;13.1;176.6950038;74.4;8.132161755
258;RETIRADO;7436012;1220675825;1221674;Mujer;12;1.2;256.9530305;67.4;8.368538659
259;RETIRADO;7529186;1217798944;1941378;Mujer;34;15;200.1365845;71.8;8.431397318
260;VINCULADO;4042786;660405007.2;884701;Hombre;27;1.3;48.14525606;7.2;2.803590034
261;VINCULADO;7418568;1233921763;2347906;Hombre;18;1.9;227.2668943;79;8.349559628
262;RETIRADO;2865342;454261763.8;723521;Mujer;48;1.9;348.0362725;15.8;8.242485775
263;RETIRADO;7469019;1249093646;2215488;Hombre;16;16.7;154.3046863;100.3;8.646411652
264;VINCULADO;1271012;258574805.5;1097092;Hombre;42;16.6;66.92490353;27.6;2.274279349
265;RETIRADO;3227540;503910428.2;773305;Mujer;25;3;253.7680753;1.1;7.938641621
266;VINCULADO;7770276;1208920180;381282;Mujer;35;2.2;10.79138008;49.2;2.624652958
267;RETIRADO;7605760;1181371837;1387234;Mujer;12;1.4;35.27960859;39.4;2.792693629
268;VINCULADO;2837253;516220184.4;3094309;Hombre;0;2.6;65.18508062;30.5;3.059900627
269;RETIRADO;2120877;388168968.1;1367476;Hombre;22;16.6;218.805805;19.3;8.304304036
270;RETIRADO;6944752;1053306717;710699;Hombre;41;3.3;101.3675134;68.5;8.284428029
271;RETIRADO;7079648;1180738572;1498996;Hombre;10;15.2;291.7233783;71.9;8.671480024
272;RETIRADO;3366992;518789634.8;363641;Hombre;4;2;316.6642613;4.9;8.2502435
273;VINCULADO;7150071;1156761466;2278460;Hombre;16;15.7;9.496005156;61;3.374641781
274;VINCULADO;8285927;1309997658;1496933;Hombre;20;1.3;0;102.3;2.059122618
275;RETIRADO;3499394;560999270.7;1149506;Hombre;60;2.2;222.0208777;21.9;8.502669298
276;VINCULADO;797291;155928267.7;1855901;Hombre;20;16.3;0;15.7;2.369900872
277;VINCULADO;7243203;1116373182;1590288;Mujer;13;2.4;0;79.8;3.014022283
278;RETIRADO;3113422;557352122;1714834;Mujer;22;2.3;267.3287146;12.8;8.292617575
279;VINCULADO;150000;84374775.28;2961386;Mujer;24;16.9;43.88848497;26.8;2.786985909
280;VINCULADO;7926949;1259587706;977319;Mujer;33;0;45.76898425;103.9;2.941750328
281;VINCULADO;695909;146397800.5;743517;Hombre;18;14.6;0;33.3;2.439930323
282;VINCULADO;7925242;1319350986;2361103;Mujer;12;17.8;67.64041089;79.2;1.591803995
283;RETIRADO;946359;146414489.6;627331;Mujer;0;16.7;58.1966852;29.8;2.955841431
284;VINCULADO;973398;241717560.3;2001688;Mujer;32;17.9;59.30838103;23.1;2.210208844
285;RETIRADO;7147938;1196006977;2112939;Mujer;4;18.6;154.178605;84.5;7.831341679
286;VINCULADO;1862193;332227445;1652079;Mujer;24;17;0;19.5;2.555548127
287;VINCULADO;8503026;1351206691;1355817;Hombre;13;2.2;18.24382506;79.3;2.799136966
288;VINCULADO;3477939;600615271.6;1440336;Hombre;29;0.8;0;7.9;2.388631032
289;RETIRADO;7519415;1235172062;853492;Hombre;31;2.2;299.3624373;86;8.395905561
290;RETIRADO;6345060;979237302.8;1072194;Mujer;30;2.4;58.437493;54;3.119008661
